day,hour,PULocationID,DOLocationID,trip_duration
Wednesday,0,259,32,1640.0
Wednesday,7,259,32,599.0
Wednesday,7,259,32,799.0
Wednesday,8,259,32,614.0
Wednesday,9,259,32,653.0
Wednesday,10,259,32,825.0
Wednesday,10,259,32,1314.0
Wednesday,14,259,32,842.0
Wednesday,15,259,32,1980.0
Wednesday,16,259,32,1719.0
Wednesday,16,259,32,1004.0
Wednesday,17,259,32,1146.0
Wednesday,17,259,32,1025.0
Wednesday,18,259,32,1568.0
Wednesday,18,259,32,1061.0
Wednesday,20,259,32,680.0
Wednesday,20,259,32,1160.0
Wednesday,20,259,32,770.0
Wednesday,20,259,32,824.0
Wednesday,20,259,32,675.0
Wednesday,22,259,32,763.0
Wednesday,22,259,32,918.0
Wednesday,22,259,32,693.0
Wednesday,23,259,32,748.0
Thursday,1,259,32,836.0
Thursday,7,259,32,827.0
Thursday,7,259,32,599.0
Thursday,7,259,32,857.0
Thursday,8,259,32,419.0
Thursday,8,259,32,799.0
Thursday,9,259,32,790.0
Thursday,10,259,32,515.0
Thursday,13,259,32,944.0
Thursday,15,259,32,751.0
Thursday,16,259,32,627.0
Thursday,16,259,32,652.0
Thursday,16,259,32,1049.0
Thursday,17,259,32,1077.0
Thursday,18,259,32,888.0
Thursday,18,259,32,1001.0
Thursday,18,259,32,673.0
Thursday,19,259,32,947.0
Thursday,19,259,32,658.0
Thursday,20,259,32,627.0
Thursday,21,259,32,959.0
Friday,6,259,32,517.0
Friday,7,259,32,846.0
Friday,8,259,32,458.0
Friday,9,259,32,735.0
Friday,9,259,32,581.0
Friday,9,259,32,747.0
Friday,10,259,32,641.0
Friday,10,259,32,1099.0
Friday,11,259,32,714.0
Friday,11,259,32,875.0
Friday,12,259,32,766.0
Friday,12,259,32,1017.0
Friday,12,259,32,629.0
Friday,12,259,32,812.0
Friday,13,259,32,723.0
Friday,15,259,32,969.0
Friday,16,259,32,993.0
Friday,17,259,32,943.0
Friday,18,259,32,876.0
Friday,18,259,32,1152.0
Friday,18,259,32,783.0
Friday,20,259,32,818.0
Friday,20,259,32,586.0
Friday,22,259,32,671.0
Friday,22,259,32,689.0
Friday,23,259,32,567.0
Friday,23,259,32,542.0
Saturday,0,259,32,507.0
Saturday,0,259,32,418.0
Saturday,1,259,32,650.0
Saturday,1,259,32,882.0
Saturday,1,259,32,493.0
Saturday,1,259,32,1377.0
Saturday,1,259,32,713.0
Saturday,3,259,32,604.0
Saturday,8,259,32,757.0
Saturday,8,259,32,365.0
Saturday,9,259,32,770.0
Saturday,9,259,32,755.0
Saturday,9,259,32,875.0
Saturday,10,259,32,696.0
Saturday,11,259,32,801.0
Saturday,11,259,32,893.0
Saturday,12,259,32,1173.0
Saturday,13,259,32,678.0
Saturday,15,259,32,1054.0
Saturday,15,259,32,1124.0
Saturday,15,259,32,978.0
Saturday,16,259,32,803.0
Saturday,17,259,32,700.0
Saturday,18,259,32,1346.0
Saturday,18,259,32,1000.0
Saturday,19,259,32,1002.0
Saturday,20,259,32,702.0
Saturday,21,259,32,1010.0
Saturday,22,259,32,808.0
Saturday,22,259,32,734.0
Saturday,23,259,32,584.0
Sunday,1,259,32,790.0
Sunday,1,259,32,694.0
Sunday,2,259,32,750.0
Sunday,6,259,32,617.0
Sunday,7,259,32,532.0
Sunday,7,259,32,588.0
Sunday,8,259,32,872.0
Sunday,9,259,32,543.0
Sunday,10,259,32,851.0
Sunday,10,259,32,612.0
Sunday,10,259,32,767.0
Sunday,13,259,32,853.0
Sunday,13,259,32,493.0
Sunday,13,259,32,563.0
Sunday,14,259,32,702.0
Sunday,14,259,32,974.0
Sunday,14,259,32,1104.0
Sunday,14,259,32,751.0
Sunday,14,259,32,895.0
Sunday,15,259,32,844.0
Sunday,17,259,32,573.0
Sunday,19,259,32,1004.0
Sunday,20,259,32,638.0
Sunday,20,259,32,752.0
Sunday,21,259,32,796.0
Sunday,22,259,32,683.0
Sunday,22,259,32,718.0
Sunday,23,259,32,559.0
Monday,6,259,32,1089.0
Monday,7,259,32,1535.0
Monday,7,259,32,1125.0
Monday,8,259,32,1848.0
Monday,8,259,32,975.0
Monday,11,259,32,626.0
Monday,12,259,32,872.0
Monday,15,259,32,753.0
Monday,17,259,32,656.0
Monday,17,259,32,1118.0
Monday,17,259,32,1075.0
Monday,18,259,32,740.0
Monday,18,259,32,944.0
Monday,18,259,32,1439.0
Monday,19,259,32,1093.0
Monday,19,259,32,890.0
Monday,19,259,32,890.0
Monday,21,259,32,847.0
Monday,21,259,32,538.0
Monday,22,259,32,738.0
Monday,22,259,32,691.0
Monday,22,259,32,647.0
Monday,23,259,32,420.0
Monday,23,259,32,560.0
Monday,23,259,32,677.0
Tuesday,3,259,32,563.0
Tuesday,6,259,32,690.0
Tuesday,7,259,32,849.0
Tuesday,7,259,32,904.0
Tuesday,7,259,32,1097.0
Tuesday,8,259,32,891.0
Tuesday,8,259,32,1032.0
Tuesday,9,259,32,694.0
Tuesday,9,259,32,535.0
Tuesday,11,259,32,1139.0
Tuesday,11,259,32,660.0
Tuesday,12,259,32,597.0
Tuesday,12,259,32,671.0
Tuesday,13,259,32,653.0
Tuesday,14,259,32,914.0
Tuesday,14,259,32,729.0
Tuesday,15,259,32,1086.0
Tuesday,15,259,32,850.0
Tuesday,15,259,32,1234.0
Tuesday,17,259,32,786.0
Tuesday,17,259,32,761.0
Tuesday,18,259,32,863.0
Tuesday,19,259,32,739.0
Tuesday,20,259,32,748.0
Tuesday,21,259,32,616.0
Tuesday,22,259,32,832.0
Tuesday,23,259,32,500.0
Wednesday,3,259,32,708.0
Wednesday,3,259,32,749.0
Wednesday,6,259,32,598.0
Wednesday,8,259,32,804.0
Wednesday,8,259,32,941.0
Wednesday,8,259,32,1264.0
Wednesday,8,259,32,830.0
Wednesday,9,259,32,705.0
Wednesday,9,259,32,824.0
Wednesday,10,259,32,856.0
Wednesday,11,259,32,898.0
Wednesday,12,259,32,1030.0
Wednesday,13,259,32,734.0
Wednesday,14,259,32,1282.0
Wednesday,15,259,32,834.0
Wednesday,17,259,32,731.0
Wednesday,17,259,32,458.0
Wednesday,17,259,32,1371.0
Wednesday,17,259,32,782.0
Wednesday,19,259,32,633.0
Wednesday,19,259,32,783.0
Wednesday,19,259,32,1092.0
Wednesday,19,259,32,579.0
Wednesday,20,259,32,730.0
Wednesday,20,259,32,877.0
Wednesday,20,259,32,808.0
Wednesday,21,259,32,729.0
Wednesday,21,259,32,561.0
Wednesday,22,259,32,756.0
Wednesday,22,259,32,568.0
Wednesday,23,259,32,1205.0
Wednesday,23,259,32,1090.0
Thursday,1,259,32,746.0
Thursday,7,259,32,1138.0
Thursday,7,259,32,1002.0
Thursday,8,259,32,758.0
Thursday,8,259,32,1590.0
Thursday,8,259,32,2008.0
Thursday,9,259,32,930.0
Thursday,9,259,32,728.0
Thursday,9,259,32,643.0
Thursday,9,259,32,801.0
Thursday,11,259,32,542.0
Thursday,12,259,32,1196.0
Thursday,14,259,32,918.0
Thursday,15,259,32,583.0
Thursday,15,259,32,669.0
Thursday,16,259,32,1311.0
Thursday,16,259,32,1002.0
Thursday,16,259,32,727.0
Thursday,18,259,32,890.0
Thursday,19,259,32,872.0
Thursday,19,259,32,789.0
Thursday,19,259,32,911.0
Thursday,20,259,32,650.0
Thursday,22,259,32,720.0
Thursday,23,259,32,587.0
Thursday,23,259,32,643.0
Thursday,23,259,32,712.0
Friday,0,259,32,740.0
Friday,6,259,32,801.0
Friday,7,259,32,1045.0
Friday,8,259,32,656.0
Friday,9,259,32,885.0
Friday,9,259,32,616.0
Friday,9,259,32,819.0
Friday,10,259,32,845.0
Friday,12,259,32,744.0
Friday,12,259,32,837.0
Friday,12,259,32,1098.0
Friday,13,259,32,1254.0
Friday,13,259,32,766.0
Friday,14,259,32,1204.0
Friday,14,259,32,851.0
Friday,14,259,32,856.0
Friday,15,259,32,894.0
Friday,15,259,32,1137.0
Friday,16,259,32,982.0
Friday,17,259,32,818.0
Friday,17,259,32,1120.0
Friday,17,259,32,579.0
Friday,18,259,32,1103.0
Friday,18,259,32,971.0
Friday,18,259,32,881.0
Friday,20,259,32,706.0
Friday,21,259,32,890.0
Friday,22,259,32,747.0
Friday,23,259,32,819.0
Saturday,0,259,32,1033.0
Saturday,1,259,32,593.0
Saturday,4,259,32,716.0
Saturday,8,259,32,1220.0
Saturday,9,259,32,809.0
Saturday,9,259,32,694.0
Saturday,10,259,32,760.0
Saturday,11,259,32,689.0
Saturday,15,259,32,776.0
Saturday,16,259,32,774.0
Saturday,16,259,32,941.0
Saturday,17,259,32,780.0
Saturday,18,259,32,582.0
Saturday,19,259,32,915.0
Saturday,20,259,32,828.0
Saturday,20,259,32,850.0
Saturday,21,259,32,729.0
Saturday,21,259,32,479.0
Saturday,22,259,32,700.0
Saturday,23,259,32,618.0
Sunday,0,259,32,1586.0
Sunday,1,259,32,1558.0
Sunday,1,259,32,606.0
Sunday,1,259,32,624.0
Sunday,1,259,32,1234.0
Sunday,2,259,32,466.0
Sunday,3,259,32,615.0
Sunday,6,259,32,716.0
Sunday,7,259,32,514.0
Sunday,8,259,32,824.0
Sunday,9,259,32,618.0
Sunday,11,259,32,597.0
Sunday,11,259,32,765.0
Sunday,11,259,32,721.0
Sunday,12,259,32,738.0
Sunday,12,259,32,689.0
Sunday,12,259,32,668.0
Sunday,13,259,32,607.0
Sunday,15,259,32,861.0
Sunday,15,259,32,739.0
Sunday,16,259,32,1378.0
Sunday,16,259,32,1318.0
Sunday,17,259,32,903.0
Sunday,18,259,32,831.0
Sunday,18,259,32,891.0
Sunday,20,259,32,769.0
Sunday,20,259,32,901.0
Sunday,21,259,32,742.0
Sunday,21,259,32,699.0
Sunday,22,259,32,1076.0
Sunday,22,259,32,824.0
Sunday,23,259,32,631.0
Monday,1,259,32,654.0
Monday,1,259,32,1112.0
Monday,3,259,32,825.0
Monday,4,259,32,510.0
Monday,6,259,32,751.0
Monday,6,259,32,433.0
Monday,7,259,32,852.0
Monday,8,259,32,905.0
Monday,8,259,32,528.0
Monday,10,259,32,854.0
Monday,10,259,32,671.0
Monday,11,259,32,838.0
Monday,11,259,32,762.0
Monday,12,259,32,627.0
Monday,12,259,32,1150.0
Monday,14,259,32,621.0
Monday,14,259,32,1019.0
Monday,15,259,32,1388.0
Monday,16,259,32,693.0
Monday,17,259,32,805.0
Monday,18,259,32,614.0
Monday,19,259,32,855.0
Monday,19,259,32,879.0
Monday,22,259,32,614.0
Monday,22,259,32,742.0
Monday,22,259,32,839.0
Monday,23,259,32,585.0
Tuesday,0,259,32,877.0
Tuesday,7,259,32,1053.0
Tuesday,8,259,32,723.0
Tuesday,8,259,32,802.0
Tuesday,8,259,32,1285.0
Tuesday,8,259,32,847.0
Tuesday,9,259,32,757.0
Tuesday,9,259,32,657.0
Tuesday,11,259,32,735.0
Tuesday,11,259,32,703.0
Tuesday,12,259,32,829.0
Tuesday,12,259,32,598.0
Tuesday,13,259,32,832.0
Tuesday,14,259,32,1061.0
Tuesday,14,259,32,686.0
Tuesday,15,259,32,1064.0
Tuesday,16,259,32,786.0
Tuesday,17,259,32,847.0
Tuesday,18,259,32,757.0
Tuesday,18,259,32,1061.0
Tuesday,20,259,32,1101.0
Tuesday,21,259,32,680.0
Tuesday,21,259,32,1096.0
Wednesday,0,259,32,433.0
Wednesday,0,259,32,565.0
Wednesday,4,259,32,557.0
Wednesday,7,259,32,985.0
Wednesday,7,259,32,1001.0
Wednesday,8,259,32,1770.0
Wednesday,8,259,32,913.0
Wednesday,8,259,32,758.0
Wednesday,9,259,32,869.0
Wednesday,12,259,32,1015.0
Wednesday,13,259,32,716.0
Wednesday,14,259,32,772.0
Wednesday,14,259,32,728.0
Wednesday,14,259,32,1019.0
Wednesday,14,259,32,895.0
Wednesday,16,259,32,1081.0
Wednesday,16,259,32,583.0
Wednesday,17,259,32,949.0
Wednesday,17,259,32,690.0
Wednesday,18,259,32,922.0
Wednesday,18,259,32,732.0
Wednesday,19,259,32,880.0
Wednesday,19,259,32,650.0
Wednesday,20,259,32,977.0
Wednesday,20,259,32,1089.0
Wednesday,20,259,32,683.0
Wednesday,21,259,32,909.0
Wednesday,22,259,32,518.0
Wednesday,23,259,32,690.0
Wednesday,23,259,32,852.0
Wednesday,23,259,32,769.0
Thursday,1,259,32,546.0
Thursday,2,259,32,844.0
Thursday,7,259,32,797.0
Thursday,7,259,32,621.0
Thursday,8,259,32,734.0
Thursday,8,259,32,598.0
Thursday,8,259,32,1051.0
Thursday,9,259,32,879.0
Thursday,9,259,32,822.0
Thursday,10,259,32,450.0
Thursday,12,259,32,736.0
Thursday,13,259,32,888.0
Thursday,14,259,32,1160.0
Thursday,14,259,32,623.0
Thursday,15,259,32,671.0
Thursday,15,259,32,788.0
Thursday,16,259,32,1158.0
Thursday,18,259,32,851.0
Thursday,18,259,32,732.0
Thursday,20,259,32,671.0
Thursday,21,259,32,827.0
Thursday,21,259,32,746.0
Thursday,21,259,32,818.0
Thursday,21,259,32,747.0
Thursday,22,259,32,761.0
Thursday,22,259,32,554.0
Thursday,22,259,32,789.0
Thursday,22,259,32,698.0
Thursday,23,259,32,499.0
Friday,0,259,32,426.0
Friday,1,259,32,624.0
Friday,3,259,32,525.0
Friday,6,259,32,767.0
Friday,7,259,32,1287.0
Friday,8,259,32,1538.0
Friday,8,259,32,1158.0
Friday,8,259,32,675.0
Friday,8,259,32,790.0
Friday,9,259,32,824.0
Friday,9,259,32,979.0
Friday,9,259,32,850.0
Friday,9,259,32,836.0
Friday,11,259,32,661.0
Friday,11,259,32,670.0
Friday,11,259,32,725.0
